Rank;Name;TotalNetWorth;LastChange;YTDChange;Country;Industry;Address;City;ZipCode;State;Social security number;UniqueID
330;Ralph Lauren;$8.17B;-$89.8M;+$812M ;United States;Consumer;952 Birch Street;Indianapolis;46202;Minnesota;1941618810244;j1465395w
331;Richard Kinder;$8.16B;-$96.9M;+$1.35B ;United States;Energy;1883 Charter Street;Lugoff;29078;Kentucky;1963759081876;v1716279z
332;Kei Hoi Pang;$8.12B;-$47.0M;-$283M ;China;Real-Estate;Zheng Zhou Shi Chang Xing Lu 19hao;Zhengzhou - Huiji District;;Henan;1986498050401;p1802061v
333;Juan Beckmann Vidal & Family;$8.11B;-$62.5M;-$319M ;Mexico;Food & Beverage;AV MARIANO ABASOLO NO. 899, PROHOGAR, 21240; Baja California;21240;Mexicali;1979458333925;c2575435v
334;Shahid Khan;$8.09B;-$40.0M;-$102M ;United States;Consumer;4747 Clay Lick Road;Broomfield;80020;New Jersey;1956646721631;o4368992t
335;Yu Renrong;$8.01B;+$109M;+$1.28B ;China;Technology;Zhuan Shu Jie 50hao Jiu Du Fan Dian Xing Zheng Bu;Yibin - Cuiping District;;Sichuan;1960881609843;b7609074t
336;Mat Ishbia;$8.00B;+$78.9M;-$3.35B ;United States;Finance;1310 Jehovah Drive;Beltsville;20705;Ohio;1946207382891;k6574293p
337;Rahel Blocher;$7.99B;-$167M;-$295M ;Switzerland;Industrial;Erlenweg 108;Bern;3041;;1942093174259;d6714300l
338;Ludwig Merckle;$7.99B;-$108M;+$584M ;Germany;Industrial;Friedrichstrasse 33;Düsseldorf Kalkum;40489;Nordrhein-Westfalen;2002406741466;b7610679y
339;Chen Jianhua;$7.98B;-$441M;-$1.30B ;China;Industrial;Dong Nan Cheng Jiao Li Jing Hao Ting 2-0802shi;Xian - Beilin District;;Shaanxi;1988096365699;c5464254w
340;Frank Lowy;$7.93B;-$75.0M;+$525M ;Australia;Real-Estate;4 Old Gayndah Road;Mount Steadman;4650;Queensland;2008987288745;f4451147r
341;Nicky Oppenheimer;$7.83B;-$25.0M;+$675M ;South Africa;Diversified;244 Doreen St;Rustentburg;340;North West;1973281558971;e7807023x
342;David Thomson;$7.81B;-$34.8M;+$1.00B ;Canada;Media & Telecom;2031 9th Avenue;Woodstock;N4S 6J6;Ontario;1978202113571;y4475927x
343;Taylor Thomson;$7.81B;-$36.7M;+$999M ;Canada;Media & Telecom;786 Landon Street;Verner;P0H 2M0;Ontario;1967277157286;l1911645m
344;Peter Thomson;$7.81B;-$36.7M;+$999M ;Canada;Media & Telecom;2029 Hastings Street;Vancouver;V6C 1B4;British Columbia;1962559224263;h9530035z
345;Bob Rich;$7.81B;-$85.5M;+$720M ;United States;Food & Beverage;1247 Blane Street;Saint Louis;63146;Iowa;2008486202101;q9290713t
346;Leonid Fedun;$7.80B;-$119M;+$1.13B ;Russia;Energy;Ostrovskogo, bld. 30, appt. 90;Surgut;;KHanty-Mansiyskiy AO;1953560790836;w5677768e
347;Nusli Wadia;$7.76B;+$57.7M;-$128M ;India;Diversified;2, Khushboo Corner, Alkapuri;Vadodara;390007;  Gujarat;1989676093073;j2573322t
348;Geoffrey Kwok;$7.73B;-$99.2M;+$1.02B ;Hong Kong;Real-Estate;Pccw Tower Quarry Bay;Eastern District;;Hong Kong;1998796385855;v6323286r
349;Finn Rausing;$7.66B;-$51.6M;-$35.0M ;Sweden;Services; Esplanadgatan 22; Dala-husby; 776 03;;1973376397988;y8944348b
350;Kirsten Rausing;$7.66B;-$51.6M;-$35.0M ;Sweden;Services; Karlsängen 66; Stora Vika; 140 42;;1966777664178;m5022344r
351;George Soros;$7.60B;$0;$0 ;United States;Finance;2502 Briarwood Road;Springfield;65804;Pennsylvania;1985578232304;w8364254o
352;Steven Spielberg;$7.58B;-$75.0M;+$425M ;United States;Entertainment;2373 Glendale Avenue;Los Angeles;90017;Wisconsin;2004071057022;y6871783a
353;Charles Cadogan;$7.57B;$0;+$510M ;United Kingdom;Real-Estate;43 Iffley Road;Bristol; BS1 9NR;California;1945487866518;q4842106i
354;Liu Hanyuan;$7.52B;-$48.4M;+$107M ;China;Industrial;Tai Yuan Shi Shang Guan Xiang 5hao Sheng Gong An Ting Su She 7hao Lou 4hao;Taiyuan - Yingze District;;Shanxi;2009745680119;l5286670j
355;Liz Mohn;$7.52B;-$113M;+$763M ;Germany;Media & Telecom;Kurfuerstendamm 78;Heilbronn Heilbronn;74074; Baden-Württemberg;1943770129572;a6939109r
356;Ronda Stryker;$7.50B;-$104M;+$276M ;United States;Health Care;2259 Lynn Ogden Lane;Beaumont;77701;New Jersey;1940739005624;t2601194d
357;Yu Yong;$7.49B;-$330M;+$2.08B ;China;Finance;Xin A-14-4;City Area - Shapingba District;;Chongqing;1943301542740;o1508263n
358;Chase Coleman;$7.47B;-$13.8M;+$2.11B ;United States;Finance;4552 Red Bud Lane;Hartford;6182;Wisconsin;1977837978067;w3814782q
359;Andy Bechtolsheim;$7.45B;-$18.3M;+$582M ;Germany;Technology;Kirchenallee 64;Regen;94204; Freistaat Bayern;1976246809683;m4124741u
360;Hong Ra-hee;$7.44B;-$276M;+$414M ;Korea;Diversified;50-6, Hanmaeumapateu, Beob 2(i)-dong;Daedeok-gu;;Daejeon;1961423381002;g2178591a
361;Tammy Gustavson;$7.43B;-$46.0M;+$944M ;United States;Services;520 Norma Avenue;Dayton;45402;North Carolina;1974739214262;t1405263g
362;Lin Jianhua;$7.42B;-$156M;+$167M ;China;Technology;Tong Pu Lu 13hao Yi Zhou Qin Xing;Hangzhou - Xihu District;;Zhejiang;1959847083181;y4231823e
363;Martin Viessmann & Family;$7.42B;-$138M;+$427M ;Germany;Industrial;Amsinckstrasse 90;Cunewalde;2731; Freistaat Sachsen;1990612522237;x8140933i
364;Frederik Paulsen;$7.41B;+$80.6M;+$2.35B ;Sweden;Health Care; Idvägen 19; Norrhult; 360 71;;1982071203847;t7448800x
365;Laurence Graff;$7.40B;-$158M;+$1.20B ;United Kingdom;Consumer;65 Hexham Road;Isley Walton;  DE74 8EH;New York;1988166454793;l5240348o
366;Takahisa Takahara;$7.39B;-$191M;-$1.70B ;Japan;Consumer; 416-1048, Aikawacho;Tahara-shi;; Aichi;1998508982052;j2264707e
367;John Grayken;$7.36B;-$121M;-$852M ;Ireland;Finance;11A Ashbourne Town Centre Ashbourne Co;Ashbourne;;County Meath;1957432670369;c9740764o
368;Gang Ye;$7.29B;+$207M;+$990M ;Singapore;Technology; Vbox, 919191;Singapore;48622;;2006119676713;r4470346k
369;Samuel Yin;$7.28B;+$159M;+$2.88B ;Taiwan;Diversified;Lane 12,Wucyuan 7Th St,West District;West District;;Taichung;2001965636743;i8232938s
370;Wang Laisheng;$7.27B;-$15.6M;-$3.22B ;China;Industrial;An Ding Men Wai Da Jie 59-2;City Area - Dongcheng District;;Beijing;1989926510005;p8628507o
371;Sri Prakash Lohia;$7.26B;-$98.2M;+$365M ;Indonesia;Industrial; Jl Nangka VII 1 RT 011/01;Dki Jakarta;11970;Jakarta;1944648117852;v1057317h
372;Axel Oberwelland;$7.24B;-$63.3M;+$1.41B ;Germany;Food & Beverage;Flotowstr. 24;Bernburg;6400; Sachsen-Anhalt;1953466027719;f5784232a
373;Mohamed Al Jaber;$7.20B;+$1.46M;+$8.55M ;Saudi Arabia;Retail;Buraydah;Qassim;;Qassim;1971718557952;a3201906j
374;Gwendolyn Sontheim Meyer;$7.17B;-$25.0M;+$1.13B ;United States;Commodities;2055 Terry Lane;San Manuel;85631;Louisiana;1952555792501;w4869893x
375;Pauline Keinath;$7.17B;-$25.0M;+$1.13B ;United States;Commodities;1135 Bell Street;New York;10011;Indiana;1950922206917;s2265128d
376;Tom Gores;$7.17B;-$25.0M;+$2.02B ;United States;Finance;4526 Browning Lane;Royal Oak;48073;Oklahoma;1986070944902;r6308237b
377;Hiroshi Mikitani;$7.13B;-$237M;+$1.20B ;Japan;Retail; 206-1117, Ichijoji Saikatacho, Sakyo-ku-shi;Sakyo-ku Kyoto-shi;; Kyoto;2008718585381;e6187630l
378;Jian Jun;$7.13B;+$243M;+$2.46B ;China;Consumer;Ta Zhi Dong Lu Cheng Gong Fang Chan;Bayinguolengmengguautonomous prefecture;;Xinjiang Uygur Autonomous Region;2006809321282;g6927236x
379;Teh Hong Piow;$7.11B;-$14.3M;+$231M ;Malaysia;Finance;No. 7 Jln 13/6 Seksyen 13;Petaling Jaya;46200;Selangor;2004935956560;g3510723b
380;Terry Pegula;$7.10B;-$25.0M;+$800M ;United States;Energy;1016 Ritter Street;Burns;82053;Washington;1949113867623;e1423281s
381;Alexey Kuzmichev;$7.08B;-$69.8M;-$333M ;Russia;Diversified; Akademgorodok Ul., bld. 21, appt. 155; Krasnoyarsk;; Krasnoyarskiy kray;1956439284774;k8137928r
382;John Sall;$7.08B;-$137M;+$553M ;United States;Technology;2330 Doe Meadow Drive;Germantown;20767;California;2005569334288;z3279226z
383;Antti Herlin;$7.03B;-$96.0M;+$195M ;Finland;Industrial;Linnoitustie 39;Nokia;37120;Pirkanmaa;1981443188765;c8235592i
384;Chris Hohn;$7.02B;-$46.6M;+$3.02B ;United Kingdom;Finance;57 Seafield Plac;Forres;  IV36 7TZ;Texas;1974931767763;v4158310b
385;David Shaw;$7.02B;-$52.1M;+$1.14B ;United States;Finance;3128 Crestview Terrace;Kingsbury;78638;Maryland;2006625967784;z9741066p
386;Nassef Sawiris;$7.01B;-$70.0M;+$411M ;Egypt;Industrial;57 El-Khalifa El-Maamoun St., inside Centre B.B;Heliopolis;;Cairo;2005848819272;v1417856m
387;Alain Merieux;$7.01B;-$34.0M;-$1.12B ;France;Health Care;48 Rue St Ferréol;Meudon-la-forÊt;92360;Île-de-France;2003085453158;i5953412r
388;Natie Kirsh;$7.01B;-$5.47M;+$548M ;South Africa;Food & Beverage;278 Devenish St;Acornhoek;1361;Limpopo;1998159031674;b3992799b
389;Kenneth Dart;$6.98B;-$148M;+$659M ;Cayman Islands;Finance;Grand Cayman KY1-1204, 69 Barnes Dr., #27;Grand Cayman;KY1-1204;George Town;1945794107576;k7964738f
390;Horst Pudwill;$6.97B;-$173M;+$1.64B ;Hong Kong;Consumer;Luen Fat Ind Second Bldg Kwai Chung;Kwai Tsing District;;Hong Kong;1947525000085;c3333831s
391;Shari Arison;$6.97B;-$115M;+$419M ;Israel;Diversified;38 Sharet;Ramat Gan;;;1986378728172;j5699698h
392;Nancy Laurie;$6.97B;-$54.0M;-$10.5M ;United States;Retail;1785 Oakridge Farm Lane;Vergas;56587;New York;1942781367338;p8347221v
393;Wang Yusuo;$6.96B;+$99.0M;+$2.20B ;China;Energy;Gao Xin Jie 6hao Hua Xin Ruan Jian Da Xia;Dalianshi;;Liaoning;1987939714251;q3275425d
394;Tan Kim Choo;$6.95B;-$131M;+$2.56B ;Singapore;Real-Estate; 46 PENJURU LANE M1-00;Singapore;368239;;1953736451389;o7642366x
395;Stef Wertheimer;$6.88B;-$50.0M;+$350M ;Israel;Diversified;22 Buber Martin;Haifa;;;1955911945593;x5483384r
396;Pankaj Patel;$6.86B;+$75.5M;+$1.58B ;India;Health Care;Belbaug Shopping Centre, Belbaug Shopping Centre, Opp. Railway Station;Vadodara;390002;  Gujarat;1955743061886;q7893427p
397;Kjeld Kirk Kristiansen;$6.83B;-$95.5M;-$280M ;Denmark;Consumer;Brogade 25;Eskilstrup;4863; Region Sjælland;1996005419961;u6789025j
398;Ray Hunt;$6.83B;-$93.3M;+$2.12B ;United States;Energy;2326 Sardis Station;Golden Valley;55427;Indiana;1990514527191;p8969626r
399;Margaretta Taylor;$6.81B;-$65.5M;+$696M ;United States;Media & Telecom;4839 Snyder Avenue;Auxier;41602;California;1941568780111;q7120683h
400;James Cox Chambers;$6.81B;-$65.5M;+$696M ;United States;Media & Telecom;4455 Caynor Circle;Bedminster;7921;Washington;1989088573060;e2517965u
401;Katharine Rayner;$6.81B;-$65.5M;+$696M ;United States;Media & Telecom;1879 Upland Avenue;Caledonia;43314;Washington;1943581020859;s3804199d
402;Fredrik Lundberg;$6.78B;-$159M;+$386M ;Sweden;Real-Estate;  Luddingsbo Mekanikusv 50;  Johanneshov;  121 90;;1982661309104;l9354465w
403;Chu Mang Yee;$6.78B;+$67.2M;+$2.44B ;China;Real-Estate;Yuan Shan Nan Lu 1hao Lao Lian Tong Gong Si 4lou Xi;Laiwu - City Area;;Shandong;2000868460551;f4535385m
405;Ernest Garcia III;$6.73B;-$84.1M;-$9.85M ;United States;Consumer;4103 Goldleaf Lane;Muscatine;52761;Texas;2008046125068;n8470478x
406;Bertil Hult;$6.72B;-$158M;+$1.05B ;Sweden;Diversified;Bodbysund 24;Skellefteå;931 17;;1979927634720;w8995770k
407;Eric Smidt;$6.71B;-$278M;+$1.12B ;United States;Retail;4142 Tipple Road;Philadelphia;19146;Mississippi;1979526623729;e5860695j
408;Vincent Bollore;$6.69B;+$2.24M;+$1.49B ;France;Diversified;30 rue Saint Germain;Gap;5000;Provence-Alpes-Côte d'Azur;1955614055898;t1885030l
409;Joe Lewis;$6.68B;-$53.3M;+$187M ;United Kingdom;Diversified;86 Victoria Road;Lintlaw;  TD11 1UF;Vermont;1968500507610;l8230808y
410;Josh Harris;$6.67B;-$17.7M;+$563M ;United States;Finance;3215 Highland Drive;Green Bay;54303;Ohio;1955121279082;i4581190p
411;J K Irving;$6.67B;+$3.96M;+$419M ;Canada;Commodities;817 Riedel Street;Fort Mcmurray;T9H 3J9;Alberta;1980130748080;i2299377h
412;Ronald McAulay;$6.66B;-$56.0M;+$346M ;Hong Kong;Energy;5 Mui Hing St;Happy Valley;;Hong Kong;1975824126320;q2993014h
413;Jean-Michel Besnier;$6.64B;-$59.6M;+$359M ;France;Food & Beverage;98 Rue de Strasbourg;Clichy-sous-bois;93390;Île-de-France;1949210160034;a6181444g
414;Randa Williams;$6.63B;-$32.4M;+$778M ;United States;Energy;4991 Ingram Street;Gladstone;7934;Texas;1970319162937;o4336692p
415;Dannine Avara;$6.63B;-$32.4M;+$778M ;United States;Energy;1365 Hartland Avenue;Fond Du Lac;54935;California;1940394449400;v6995365i
416;Scott Duncan;$6.63B;-$32.4M;+$778M ;United States;Energy;3967 Stratford Court;Cary;27513;Florida;1975138856251;y4424588h
417;Milane Frantz;$6.63B;-$32.4M;+$778M ;United States;Energy;3603 Shadowmar Drive;Metairie;70001;Montana;1945619058502;d3077708o
418;Sofie Kirk Kristiansen;$6.63B;-$70.5M;-$305M ;Denmark;Consumer;Præstegade 45;Nørre Asmindrup;4572; Region Sjælland;1979063690469;x5156205x
419;Agnete Kirk Thinggaard;$6.63B;-$70.5M;-$305M ;Denmark;Consumer;Dosseringen 90;Storvorde;9280; Region Nordjylland;1974674593181;n3217859w
420;Thomas Kirk Kristiansen;$6.63B;-$70.5M;-$305M ;Denmark;Consumer;Klintevej 33;Frederiksberg C;1966; Region Sjælland;1961981416133;x6081728x
421;Wang Laichun;$6.60B;-$15.5M;-$3.24B ;China;Industrial;Yuan Guang Bei Lu Jia Ming Da Xia 801;Zhangzhou - Xiangcheng District;;Fujian;1997087114137;f2300286r
422;Xavier Niel;$6.60B;+$57.8M;-$713M ;France;Technology;29 rue Marguerite;Villiers-le-bel;95400;Île-de-France;1959255688642;r4160920r
423;Lynn Schusterman;$6.58B;-$26.3M;+$381M ;United States;Energy;3126 Pearcy Avenue;Indianapolis;46202;Louisiana;1990265451362;m2063454d
424;Lai Meisong;$6.58B;-$79.5M;+$402M ;China;Services;Wei Fang Lu 357hao Xin Zhu Yuan Zhong Xue;Shanghai;;Shanghai;1941171016138;y9924097a
425;Tom Morris;$6.55B;-$123M;+$955M ;United Kingdom;Retail;10 Sea Road;Lamphey;  SA71 3QT;Utah;1977460248541;h3235406h
426;Yasumitsu Shigeta;$6.55B;-$107M;-$545M ;Japan;Media & Telecom; 417-1104, Nishibiwajimacho Benten;Kiyosu-shi;; Aichi;1950723980466;s6860339s
427;K P Singh;$6.54B;-$6.28M;+$874M ;India;Real-Estate;1-2-3, Vyapar Bhavan, Ahmedabad Street, Masjid Bunder(e);Mumbai;400009;  Maharashtra;1972944438434;y5838372h
428;Rahul Bajaj;$6.53B;-$21.8M;+$966M ;India;Diversified;B-1, Near St Carmel Schoo, Silver Croft, Off Marve Road, Malad (west);Mumbai;400062;  Maharashtra;1986146559632;v9280888x
429;Simon Reuben;$6.50B;-$50.0M;+$150M ;United Kingdom;Diversified;7 Iffley Road;Brislington;  BS4 6TQ;Virginia;1958988149882;h2466828j
430;David Reuben;$6.50B;-$25.0M;+$150M ;United Kingdom;Diversified;44 Essex Rd;Taunton;  TA1 3EE;Alabama;1959954048024;c3185189o
431;Leaf Hua Li;$6.46B;+$413M;+$4.15B ;China;Technology;Jiang Da Lu Te 1hao Xiang Ti Mei Jing 13-4-104;Wuhan;;Hubei;2007190195340;e5605574w
432;George Kaiser;$6.42B;-$31.8M;+$450M ;United States;Energy;4199 Hornor Avenue;Bartlesville;74003;California;1952460185714;o3850057g
433;Bom Kim;$6.39B;-$143M;+$5.49B ;United States;Technology;1532 Goodwin Avenue;Spokane;99205;California;2008429907127;e9827975x
434;Andrey Guryev;$6.38B;+$42.6M;+$1.26B ;Russia;Industrial; 206 Kvartal, bld. 5, appt. 13; Angarsk;; Irkutskaya oblast;2009373762219;i2232352r
435;Chung Mong-Koo;$6.37B;-$58.7M;+$688M ;Korea;Industrial;959-2, Bongdeog 2(i)-dong;Nam-gu;;Daegu;1951925522858;s5717867h
436;Jean-Pierre Cayard;$6.35B;-$108M;+$588M ;France;Food & Beverage;66 Rue Frédéric Chopin;Vernon;27200;Haute-Normandie;1975765971152;k3811416f
437;Peter Thiel;$6.31B;+$237M;-$330M ;United States;Finance;1705 Roosevelt Wilson Lane;Santa Fe Springs;90670;Montana;1966469359588;l2143210z
438;Jane Lauder;$6.30B;-$71.4M;+$596M ;United States;Consumer;4826 Harron Drive;Columbia;21046;California;1999217931172;w4102628i
439;Udo Tschira;$6.29B;-$134M;+$303M ;Germany;Technology;Budapester Straße 30;Lichtenfels;96215; Freistaat Bayern;1947797145388;j2129675f
440;Harald Tschira;$6.29B;-$134M;+$303M ;Germany;Technology;Ansbacher Strasse 14;Schauren;55758; Rheinland-Pfalz;1945054394046;u6018585u
441;Lv Xiang-yang;$6.26B;-$61.9M;+$1.87B ;China;Consumer;Jiang Xi Jing De Zhen Shu Guang Lu Tie Lu You Er Yuan;Jingdetownshi;;Jiangxi;1998440744211;w4539673f
442;Bubba Cathy;$6.25B;-$20.2M;+$260M ;United States;Food & Beverage;2276 Elm Drive;New York;10023;Minnesota;1989221089237;i9298784y
443;Ivan Glasenberg;$6.24B;-$54.2M;+$1.81B ;Australia;Commodities;97 Quintin Street;Wamuran Basin;4512;Queensland;1954178108646;n4259357m
444;Dan Cathy;$6.24B;-$23.6M;+$256M ;United States;Food & Beverage;2808 Patterson Street;Princeton;47670;Florida;1987951587095;l8125202w
445;Andre Hoffmann;$6.23B;-$94.5M;+$304M ;Switzerland;Health Care;Langwiesstrasse 12;Wengen;3823;;1969153469306;h1302859e
446;Philip Ng;$6.23B;-$71.1M;+$1.29B ;Singapore;Real-Estate; 30 RAFFLES PLACE 23-00 CALTEX HOUSE;Singapore;399849;;2009505741441;u2542415r
447;Petr Aven;$6.20B;-$43.0M;+$83.4M ;Russia;Diversified; Gidrostroiteley, bld. 39, appt. 9; Krasnodar;; Krasnodarskiy kray;1992326926862;j6842172h
448;Mark Shoen;$6.16B;-$138M;+$1.35B ;United States;Services;4129 Beech Street;Concord;94520;Michigan;1988913071605;n1165818n
449;Robert Ng;$6.16B;-$69.3M;+$1.28B ;Singapore;Real-Estate; 605, MacPherson Rd #01-15, Citimac Ind Complex;Singapore;79903;;2005986186242;q1211481a
450;Tsai Eng-Meng;$6.15B;-$43.5M;+$194M ;Taiwan;Food & Beverage;ALLEY 10, LANE 261, CHIN TRUE RD.;  Nanliu Vill.;; TAICHUNG;2005835938042;p6706912i
451;Isaac Perlmutter;$6.14B;-$67.6M;+$38.7M ;United States;Entertainment;683 Boone Crockett Lane;Seattle;98119;North Carolina;1941184875329;s5146743s
452;Linda Campbell;$6.14B;-$33.9M;+$785M ;Canada;Media & Telecom;2029 Hastings Stre; Vancouver;V6C 1B4;British Columbia;2004145880542;r3146040g
453;Gaye Farncombe;$6.14B;-$8.88M;+$785M ;Canada;Media & Telecom; 817 Riedel Street;  Fort Mcmurray; T9H 3J9; Alberta;1966172166259;f3531155s
454;Michael Herz & Family;$6.14B;-$17.5M;+$331M ;Germany;Consumer;Oldesloer Strasse 85;Christes;98547; Freistaat Thüring;1990950926019;i3826396f
455;Olav Thon;$6.13B;-$59.0M;+$300M ;Norway;Real-Estate;Tors vei 198;Kristiansund;6511;;1964864024614;o8251296t
456;Barry Lam;$6.13B;-$165M;+$626M ;Taiwan;Technology;No. 12, Lane 696, Huacheng Rd.;  Taipei Hsien;; Hsinchuang;1967044543460;x9376425f
457;Robert Rowling;$6.12B;-$107M;-$19.7M ;United States;Energy;1288 Elliot Avenue;Seattle;98101;West Virginia;1991296803152;q1533593n
458;Barry Diller;$6.12B;+$69.7M;+$568M ;United States;Technology;4355 Whispering Pines Circ;Allen;75002;Utah;1989885531431;i7735794w
459;Wolfgang Herz & Family;$6.12B;-$17.5M;+$313M ;Germany;Consumer;Luebeckertordamm 69;Abenberg;91181;  Freistaat Bayern;1957390122072;y8039808m
460;Leonard Stern;$6.10B;-$25.0M;+$604M ;United States;Real-Estate;2377 Lena Lane;Bolton;39041;Washington;1980036838334;d1720612r
461;Wang Wenjing;$6.10B;+$2.56M;-$1.77B ;China;Technology;Sheng Li Xin Cun 110hao 102shi;Wuxi - Binhu District;;Jiangsu;2002377033112;p8334932p
462;Manuel Villar;$6.06B;-$1.73M;-$609M ;Philippines;Diversified;Km. 30 McArthur Highway, Burol First, Balagtas;Bulacan;;Bulacan;1988505651086;c9031408y
463;Charles Butt & Family;$6.06B;-$223M;+$731M ;United States;Retail;4118 Langtown Road;Margaretta (township);44824;Ohio;1947064066633;f4671726j
464;Anthony Wood;$6.04B;+$220M;-$502M ;United States;Technology;930 Sardis Sta;Grand Prairie;75051;Washington;1948310611520;t8734034k
465;Peter-Alexander Wacker & Family;$6.04B;-$43.7M;+$312M ;Germany;Industrial;Mühlenstrasse 33;Veitshöchheim;97205;  Freistaat Bayern;1986647449888;m3673847y
466;Andreas Halvorsen;$6.01B;-$14.7M;+$1.94B ;Norway;Finance;Lunnevegen 118;Bybrua;2822;;2006148290806;u2005639t
467;Terry Gou;$5.99B;-$160M;-$615M ;Taiwan;Industrial;5F, No. 360, Sec. 6;  Chung Shan N. Rd.;;Taipei;1990073615226;c1056582c
468;Robert Kraft;$5.99B;+$56.3k;+$973M ;United States;Entertainment;2808 Wilson Street;San Diego;92101;California;1966895802997;w2886030s
469;Ann Kroenke;$5.97B;-$50.7M;-$134M ;United States;Retail;2660 Tyler Avenue;Hialeah;33012;California;1978147251207;h3836276z
470;Henry Samueli;$5.96B;+$38.4M;+$71.5M ;United States;Technology;4036 Richison Drive;Reedpoint;59069;Texas;1977857507993;s6802900x
471;Frits Goldschmeding;$5.96B;-$118M;+$698M ;Netherlands;Retail;Edisonweg 96;Gorinchem;4207 HE;Zuid-Holland;1944149370269;v8041636k
472;Arthur Irving;$5.95B;-$98.8M;-$1.58B ;Canada;Energy;3542 Thatcher Avenue;  Montreal; H3C 5K4; Quebec;1970300433235;v9272832v
473;Andrey Kozitsyn;$5.93B;+$20.6M;+$1.72B ;Russia;Industrial; Asafeva Ul., bld. 4/21, appt. 137; Sankt-peterburg;; Leningradskaya oblast;1989691350097;p5791611i
474;Vera Michalski-Hoffmann;$5.92B;-$97.7M;+$76.5M ;Switzerland;Health Care;Landstrasse 10;Schaffhausen;8208;;1956340730243;l6319263a
475;Maja Hoffmann;$5.92B;-$97.7M;+$76.5M ;Switzerland;Health Care;Schulstrasse 86;Wohlen;5610;;1943338082731;j9368133e
476;Majid Al Futtaim;$5.92B;+$111M;-$684M ;United Arab Emirates;Real-Estate;Liwa Tower;Abu Dhabi;901;Abu Dhabi;1947221361045;t9022480s
477;Edward Roski;$5.90B;-$25.0M;+$79.3M ;United States;Real-Estate;3356 Coventry Court;Baton Rouge;70806;Maine;1958507463356;q6299637g
478;Zhang Lei;$5.90B;-$34.1M;+$261M ;China;Finance;Gao Xin Si Lu San Shi Hao Feng Jing Guan Tian Xia Wu Ye Bu;Xian - Yanta District;;Shaanxi;1986369546577;d8491673f
479;Charles Johnson;$5.89B;-$114M;+$1.08B ;United States;Finance;2978 Chicago Avenue;Goshen;93277;California;1991956775815;m8353668u
480;Richard Branson;$5.88B;-$15.9M;+$161M ;United Kingdom;Diversified;92 Fulford Road;Pentewan;  PL26 5ZX;Pennsylvania;1945369904683;e8266034j
481;Miuccia Prada;$5.88B;-$20.6M;-$70.3M ;Italy;Consumer; Via del Caggio 49; Olmo;52040; Arezzo;1999554383964;m5991035a
482;Vivien Chen;$5.88B;-$125M;+$849M ;Hong Kong;Real-Estate;Yau Luen Bldg;Sham Shui Po;;Hong Kong;1949299438732;m8698480j
483;Marcos Galperin;$5.88B;-$12.2M;-$1.18B ;Argentina;Technology;B Mitre 178;Luján;;Buenos Aires;1985638701157;z5482608h
484;Bidzina Ivanishvili;$5.87B;-$25.0M;+$200M ;Georgia;Diversified;36/38 Lermontov Str;Batumi;;Adsjaria;1971508427703;s8017432g
485;Guenther Fielmann;$5.86B;-$28.1M;-$128M ;Germany;Consumer;Schönwalder Allee 23;Kirchnüchel;23714;  Schleswig-Holstein;1981344015870;m1658160c
486;Patrizio Bertelli;$5.86B;-$45.6M;-$70.4M ;Italy;Consumer; Via dei Serpenti 5; Pertica Bassa;25078; Brescia;1969913580375;c3058059c
487;Pat Stryker;$5.84B;-$85.6M;+$175M ;United States;Health Care;4005 Marietta Street;Santa Rosa;95409;Washington;1977504215981;g2182243s
488;Francis Choi;$5.84B;+$298k;-$198M ;Hong Kong;Real-Estate;Tung Fong;Sheung Shui;;Hong Kong;1953255014750;o6378758i
489;Jeffery Hildebrand;$5.82B;-$133M;+$2.72B ;United States;Energy;3901 West Fork Street;Helena;59601;Montana;1977407907489;d4999608x
490;Li Ping;$5.81B;-$36.7M;+$344M ;China;Industrial;Da Pu Lu 38long 4hao 25f;City Area;;Shanghai;1971788096575;y9731781h
491;Chip Wilson;$5.81B;-$28.1M;-$149M ;Canada;Retail; 3735 rue Levy;  Schefferville; J0C 1G0; Quebec;1966629240819;k8702281a
492;Marie Besnier Beauvalot;$5.80B;-$52.1M;+$314M ;France;Food & Beverage;33 rue Pierre Motte;Sainte-foy-lÈs-lyon;69110;Rhône-Alpes;1957248185115;w8614363w
493;Clive Calder;$5.78B;-$25.0M;+$325M ;United Kingdom;Entertainment;64 Brackley Road;Thwing;  YO25 3LE;Massachusetts;1992846665002;k5832777a
494;Kwon Hyuk-Bin;$5.77B;-$76.0M;-$266M ;Korea;Media & Telecom;93-3, Samdo 2(i)-dong;Jeju-si;;Jeju-do;1982502877574;t7496153y
495;Mark Cuban;$5.75B;-$25.0M;+$826M ;United States;Technology;1362 Norman Street;Huntington Park;90255;Utah;1979746450292;j4003828q
496;Lino Saputo;$5.75B;-$48.0M;+$772M ;Canada;Food & Beverage; 3816 rue des Églies Est;  Oshawa; L1H 7M3; Ontario;1947790363982;j3886332d
497;Prajogo Pangestu;$5.74B;-$74.7M;-$1.03B ;Indonesia;Energy;Jl Prumpung Tgh 33 RT 002/05;Dki Jakarta;13410;Jakarta;2000705293171;o7052034x
498;Charles Dolan & Family;$5.74B;-$35.8M;+$212M ;United States;Media & Telecom;4115 Pineview Drive;Fairmont;56031;California;1990169770959;e4616131d
